top - 18:42:51 up 4 min,  2 users,  load average: 0,12, 0,25, 0,12
Tareas: 185 total,   1 ejecutar,  184 hibernar,    0 detener,    0 zombie
%Cpu(s): 13,3 us,  0,0 sy,  0,0 ni, 86,7 id,  0,0 wa,  0,0 hi,  0,0 si,  0,0 st
MiB Mem :   3916,7 total,   2287,4 libre,    737,1 usado,    892,2 búfer/caché
MiB Intercambio:   2680,0 total,   2680,0 libre,      0,0 usado.   2928,7 dispon Mem 

    PID USUARIO   PR  NI    VIRT    RES    SHR S  %CPU  %MEM     HORA+ ORDEN
    195 root      19  -1   40048  17288  15792 S   0,0   0,4   0:00.17 systemd-journal
    212 root      20   0       0      0      0 I   0,0   0,0   0:00.02 kworker/0:4-cgroup_free
    224 root     -51   0       0      0      0 S   0,0   0,0   0:00.00 irq/18-vmwgfx
    225 root       0 -20       0      0      0 I   0,0   0,0   0:00.00 kworker/R-ttm
    242 root      20   0   27060   7164   4644 S   0,0   0,2   0:00.10 systemd-udevd
    292 root       0 -20       0      0      0 I   0,0   0,0   0:00.00 kworker/R-crypt
    293 root       0 -20       0      0      0 I   0,0   0,0   0:00.03 kworker/0:2H-kblockd
    294 root      20   0       0      0      0 I   0,0   0,0   0:00.00 kworker/u2:7-loop4
    295 root      20   0       0      0      0 I   0,0   0,0   0:00.15 kworker/u2:8-events_power_efficient
    296 root      20   0       0      0      0 I   0,0   0,0   0:00.00 kworker/u2:9
    355 systemd+  20   0   14836   6868   6040 S   0,0   0,2   0:00.18 systemd-oomd
    356 systemd+  20   0   26336  14592   9484 S   0,0   0,4   0:00.07 systemd-resolve
    357 systemd+  20   0   89388   7460   6536 S   0,0   0,2   0:00.03 systemd-timesyn
    559 root      20   0  242948   8216   7180 S   0,0   0,2   0:00.05 accounts-daemon
    560 root      20   0    2816   2076   1896 S   0,0   0,1   0:00.02 acpid
    563 avahi     20   0    7712   4184   3744 S   0,0   0,1   0:00.03 avahi-daemon
    564 root      20   0   12112   3020   2764 S   0,0   0,1   0:00.00 cron
    566 message+  20   0   10968   6516   4148 S   0,0   0,2   0:00.30 dbus-daemon
    568 root      20   0  338332  19928  16496 S   0,0   0,5   0:00.20 NetworkManager
    577 root      20   0   43824  21768  12072 S   0,0   0,5   0:00.07 networkd-dispat
